month_reported,state,pcode1,municipality,pcode2,parrish,pcode3,location,latitude,longitude,disaggregation,beneficiaries
2020-04-30T00:00:00Z,miranda,VE15,plaza,VE1517,guarenas,VE151701,cein villa panamericana,NA,NA,f_3_6,60
2020-05-31T00:00:00Z,miranda,VE15,plaza,VE1517,guarenas,VE151701,cein villa panamericana,10.4697979223317,-66.593713760376,m_3_6,117
2020-09-30T00:00:00Z,miranda,VE15,chacao,VE1507,chacao,VE150701,cein virginia vera,10.49,-66.85,f_19_and_older,1
2020-07-31T00:00:00Z,distrito capital,VE01,libertador,VE0101,sucre,VE010121,cein vista hermosa,10.5046,-66.9708,f_3_6,31
2020-07-31T00:00:00Z,distrito capital,VE01,libertador,VE0101,sucre,VE010121,cein vista hermosa,10.5046,-66.9708,m_3_6,31
2020-07-31T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,f_12_17,11
2020-06-30T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,f_18_19,1
2020-06-30T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,f_19_and_older,52
2020-06-30T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,f_3_6,19
2020-07-31T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,f_7_12,22
2020-07-31T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,m_12_17,19
2020-06-30T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,m_18_19,1
2020-09-30T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,m_19_and_older,52
2020-06-30T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,m_3_6,6
2020-07-31T00:00:00Z,delta amacuro,VE10,tucupita,VE1004,jose vidal marcano,VE100402,ceina dr. julio manerio,90.7401,-62.0624,m_7_12,35
2020-09-30T00:00:00Z,miranda,VE15,independencia,VE1511,santa teresa del tuy,VE151101,ceinb  mariano picon salas,10.224,-66.698,f_19_and_older,1
2020-09-30T00:00:00Z,miranda,VE15,pedro gual,VE1516,cupira,VE151601,ceinb cabo codera,10.94,-65.42,f_19_and_older,1
2020-01-31T00:00:00Z,distrito capital,VE01,libertador,VE0101,antimano,VE010102,ceins blanca estrella de mescoli,NA,NA,f_19_and_older,6
2020-01-31T00:00:00Z,distrito capital,VE01,libertador,VE0101,antimano,VE010102,ceins blanca estrella de mescoli,NA,NA,m_19_and_older,4
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,la vela de coro,VE110601,ceir mataruca,-69.4785,11.4177,f_19_and_older,3
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,la vela de coro,VE110601,ceir mataruca,-69.4785,11.4177,f_3_6,48
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,la vela de coro,VE110601,ceir mataruca,-69.4785,11.4177,m_19_and_older,1
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,la vela de coro,VE110601,ceir mataruca,-69.4785,11.4177,m_3_6,49
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,macoruca,VE110605,ceirb 326 el calvario,-69.44,11.33,f_19_and_older,1
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,macoruca,VE110605,ceirb 326 el calvario,-69.44,11.33,f_3_6,15
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,macoruca,VE110605,ceirb 326 el calvario,-69.44,11.33,m_3_6,12
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,macoruca,VE110605,ceirb 326 guaibacoa,-69.5624,11.4532,f_19_and_older,1
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,macoruca,VE110605,ceirb 326 guaibacoa,-69.5624,11.4532,f_3_6,26
2020-10-31T00:00:00Z,falcon,VE11,colina,VE1106,macoruca,VE110605,ceirb 326 guaibacoa,-69.5624,11.4532,m_3_6,25
