mes_solo,estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion,latitud,longitud,desagregacion,beneficiarios
2020-01-31T00:00:00Z,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,UENB LUIS EZPELOSIN,NA,NA,m_7_12,479
2020-09-30T00:00:00Z,MIRANDA,VE15,URDANETA,VE1520,CUA,VE152001,UENB MANUELITA SAENZ,10.273,-66.352,f_mayores_de_19,2
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,f_12_17,85
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,f_3_6,65
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,f_7_12,336
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,f_mayores_de_19,19
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,m_12_17,84
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,m_3_6,70
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,m_7_12,340
2020-11-30T00:00:00Z,BOLIVAR,VE07,PIAR,VE0706,PEDRO COVA,VE070603,UENB MORENO DE MENDOZA,73.51681,-62.535543,m_mayores_de_19,4
2020-10-31T00:00:00Z,BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,UENB NATALIO LORETO VASQUEZ,7.652001,-66.171447,f_3_6,19
2020-10-31T00:00:00Z,BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,UENB NATALIO LORETO VASQUEZ,7.652001,-66.171447,f_7_12,49
2020-10-31T00:00:00Z,BOLIVAR,VE07,CEDENO,VE0702,CAPITAL CEDENO,VE070201,UENB NATALIO LORETO VASQUEZ,7.652001,-66.171447,f_mayores_de_19,27
